Title,Product link,Price,Category,Brand,Model,Seller,Viewes,Availability,Processor,GPU,Display,Screen Size,Resolution,Storage,RAM,Cache,Cores/Threads,Battery,Operating System
"HP Victus 15-fb0049ne Gaming Laptop - Ryzen 5-5600H 6-Cores - Radeon RX 6500M 4GB - 8GB DDR4-3200 - 512GB PCIe   Gen4 NVMe - 15.6 FHD IPS 144Hz.","https://www.sigma-computer.com/item?id=7437&name=HP_Victus_15-fb0049ne_Gaming_Laptop_-_Ryzen_5-5600H_6-Cores_-_Radeon_RX_6500M_4GB_-_8GB_DDR4-3200_-_512GB_PCIe®_Gen4_NVMe_-_15.6_FHD_IPS_144Hz._","27750 LE","Laptop","HP","15-fb0049ne (8D7B7EA)","sigma","8982 items","In stock","AMD Ryzen™ 5 5600H (6 cores. 12 threads. up to 4.2 GHz)","Not mentioned","15.6" FHD (1920 x 1080). 144 Hz. IPS. 250 nits brightness","Not mentioned","Not mentioned","8 GB DDR4-3200","Not mentioned","Not mentioned","Not mentioned","52.5 Wh. up to 8.5 hours. fast charge (50% in 45 mins)","Not mentioned"
"GIGABYTE G6X 9KG - Intel Core i7 13650HX - NVIDIA RTX 4060 8GB GDDR6 - 16GB DDR5 4800MHz - 512GB M.2 SSD - 16 WUXGA 1920x1200 165Hz - DOS","https://www.sigma-computer.com/item?id=7420&name=GIGABYTE_G6X_9KG_-_Intel_Core_i7_13650HX_-_NVIDIA_RTX_4060_8GB_GDDR6_-_16GB_DDR5_4800MHz_-_512GB_M.2_SSD_-_16_WUXGA_1920x1200_165Hz_-_DOS","52999 LE","Laptop","Gigabyte","G6X 9KG","sigma","4152 items","In stock","Intel® Core™ i7-13650HX (14 cores. 20 threads. up to 4.9 GHz)","Not mentioned","10 aspect ratio","Not mentioned","Not mentioned","16GB DDR5 (upgradable to 64GB)","Not mentioned","Not mentioned","Not mentioned","73Wh. 180W AC Adapter","Not mentioned"
"Gigabyte Aorus 16X 9SG 2024 Intel core i7-13650HX- Nvidia RTX 4070 8GB- 16GB DDR5 4800Mhz- 1TB SSD -16 inch WQXGA 165HZ- Win11","https://www.sigma-computer.com/item?id=7418&name=Gigabyte_Aorus_16X_9SG_2024_Intel_core_i7-13650HX-_Nvidia_RTX_4070_8GB-_16GB_DDR5_4800Mhz-_1TB_SSD_-16_inch_WQXGA_165HZ-_Win11","80999 LE","Laptop","Gigabyte","16X 9SG","sigma","1356 items","Out of stock","Intel® Core™ i7-13650HX (6 P-cores. 8 E-cores. up to 4.9 GHz) (14c-20t)","Not mentioned","10 WQXGA (2560x1600). 165Hz. 100% sRGB. Dolby Vision®. G-SYNC","Not mentioned","Not mentioned","2 x DDR5 slots (up to 64GB. DDR5-4800MHz)","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"Acer Nitro V Gaming Laptop Intel Core i5-13420H Processor NVIDIA GeForce RTX 3050 6GB Laptop GPU 15.6 FHD IPS 144Hz Display 8GB DDR5 512GB Gen 4 SSD WiFi 6 Backlit KB","https://www.sigma-computer.com/item?id=7407&name=Acer_Nitro_V_Gaming_Laptop_Intel_Core_i5-13420H_Processor_NVIDIA_GeForce_RTX_3050_6GB_Laptop_GPU_15.6_FHD_IPS_144Hz_Display_8GB_DDR5_512GB_Gen_4_SSD_WiFi_6_Backlit_KB","35499 LE","Laptop","ACER","ANV15-51-532J","sigma","5532 items","Out of stock","12 threads )","NVIDIA GeForce RTX 3050 6GB version Laptop GPU (Good for gaming with ray tracing support)","15.6" FHD IPS. 144Hz (Smooth visuals with high refresh rate for gaming)","Not mentioned","Not mentioned","512GB Gen 4 SSD (Fast storage. good for gaming and apps)","8GB DDR5 (Fast memory. but upgradeable for more intensive tasks)","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"Dell Inspiron 16 7640 2-in-1 laptop Intel Core Ultra 7 155H 1TB SSD 16GB Ram Intel Arc Graphics 16","https://www.sigma-computer.com/item?id=7406&name=Dell_Inspiron_16_7640_2-in-1_laptop_Intel_Core_Ultra_7_155H_1TB_SSD_16GB_Ram_Intel_Arc_Graphics_16","56999 LE","Laptop","Dell","Inspiron 16 7640","sigma","1920 items","In stock","Intel Core Ultra 7 155H (16 Cores. 3.8 GHz. up to 4.8 GHz Turbo)","Not mentioned","16-inch WUXGA (1920x1200). IPS. 300 nits. Touchscreen","Not mentioned","Not mentioned","16GB DDR5 (6400 MHz)","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Windows 11 Home"
"Asus TUF Gaming A15 FA507NUR-LP007W Laptop  AMD Ryzen 7 7435HS  512GB SSD  16GB RAM  15.6 Inch FHD Display 144Hz  NVIDIA GeForce RTX 4050 6GB  Windows 11- Jaeger Gray","https://www.sigma-computer.com/item?id=7333&name=Asus_TUF_Gaming_A15_FA507NUR-LP007W_Laptop,_AMD_Ryzen_7_7435HS,_512GB_SSD,_16GB_RAM,_15.6_Inch_FHD_Display_144Hz,_NVIDIA_GeForce_RTX_4050_6GB,_Windows_11-_Jaeger_Gray","46499 LE","Laptop","ASUS","FA507NUR-LP007W","sigma","8985 items","In stock","AMD Ryzen™ 7 7435HS (3.1GHz. up to 4.5GHz. 8 cores. 16 threads)","Not mentioned","15.6-inch FHD (1920 x 1080). 144Hz. IPS-level. 100% sRGB","Not mentioned","Not mentioned","512GB M.2 NVMe™ PCIe® 4.0 SSD","16GB DDR5-4800 (Dual channel support)","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"ASUS TUF Gaming F15 FX507VI-LP066W Gaming Laptop Intel Ci7-13620H 16GB RAM 1TB SSD RTX 4070 8GB 15.6    FHD 144Hz Win11","https://www.sigma-computer.com/item?id=7332&name=ASUS_TUF_Gaming_F15_FX507VI-LP066W_Gaming_Laptop_Intel_Ci7-13620H_16GB_RAM_1TB_SSD_RTX_4070_8GB_15.6”_FHD_144Hz_Win11","67499 LE","Laptop","ASUS","FX507VI-LP066W","sigma","3529 items","In stock","Intel® Core™ i7-13620H. up to 4.9 GHz. 10 cores","Not mentioned","15.6-inch FHD (1920 x 1080). 144Hz","Not mentioned","Not mentioned","16GB (8GB DDR5-4800 SO-DIMM x2)","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Windows 11 Home"
"ASUS ROG Strix G16 G614JV-N3487W   13th Gen Intel Core i7-13650HX Processor   DDR5 16GB   1TB PCIe 4.0 NVMe M.2 SSD   NVIDIA GeForce RTX 4060 Laptop GPU 8GB   16","https://www.sigma-computer.com/item?id=7331&name=ASUS_ROG_Strix_G16_G614JV-N3487W_|_13th_Gen_Intel_Core_i7-13650HX_Processor_|_DDR5_16GB_|_1TB_PCIe_4.0_NVMe_M.2_SSD_|_NVIDIA_GeForce_RTX_4060_Laptop_GPU_8GB_|_16","67999 LE","Laptop","ASUS","G614JV-N3487W","sigma","7206 items","Out of stock","Intel Core i7-13650HX (13th Gen) – 14 cores (6P + 8E). up to 4.9 GHz","NVIDIA GeForce RTX 4060. 8GB GDDR6. 140W","16" FHD+ (1920x1200). IPS. 165Hz. 100% sRGB. G-Sync. Dolby Vision","Not mentioned","Not mentioned","1TB PCIe 4.0 NVMe SSD","16GB DDR5 (upgradable to 32GB)","Not mentioned","Not mentioned","90Wh. 280W charger","Not mentioned"
"LENOVO LOQ 15IRX9 83DV00P4AX GAMING LAPTOP INTEL Core i5-13450HX 10 Cores     NVIDIA GeForce RTX 3050 6GB     16GB RAM DDR5 512GB SSD    15.6 FHD 100  sRGB IPS 144HZ","https://www.sigma-computer.com/item?id=7329&name=LENOVO_LOQ_15IRX9_83DV00P4AX_GAMING_LAPTOP_INTEL_Core_i5-13450HX_10_Cores_–_NVIDIA_GeForce_RTX_3050_6GB_–_16GB_RAM_DDR5_512GB_SSD–_15.6_FHD_100%_sRGB_IPS_144HZ","40999 LE","Laptop","Lenovo","83DV00P4AX","sigma","9282 items","In stock","Intel® Core™ i5-13450HX (10C. 16T. up to 4.6 GHz)","Not mentioned","15.6" FHD (1920x1080). 144Hz. G-SYNC®","Not mentioned","Not mentioned","16GB SO-DIMM DDR5-4800 (up to 32GB)","Not mentioned","Not mentioned","Not mentioned","Integrated 60Wh","None (OS not included)"
"Laptop HP 15S EQ2383NIA - AMD Ryzen 3 5300U - AMD Radeon Graphics - 8GB DDR4 3200MHz - 256GB NVMe SSDD - 15.6 inch FHD VA","https://www.sigma-computer.com/item?id=7325&name=Laptop_HP_15S_EQ2383NIA_-_AMD_Ryzen_3_5300U_-_AMD_Radeon_Graphics_-_8GB_DDR4_3200MHz_-_256GB_NVMe_SSDD_-_15.6_inch_FHD_VA","15799 LE","Laptop","HP","EQ2383NIA","sigma","2431 items","In stock","AMD Ryzen 3 5300U (4 Cores / 8 Threads. Base 2.6GHz. Boost up to 3.8GHz)","Not mentioned","15.6-inch Full HD (1920x1080). VA Panel (Better viewing angles and color than TN)","Not mentioned","Not mentioned","8GB DDR4 3200MHz (Expandable)","Not mentioned","Not mentioned","Not mentioned","~41Wh (provides decent 6-8 hours on light use)","Usually ships with FreeDOS (can upgrade to Windows 10/11)"
